unit,isced97,hlth_pb,sex,age,time,geo,value
THS,ED5_6,TOTAL,T,Y25-34,2011,BE ,580.849
THS,ED5_6,TOTAL,F,Y35-44,2011,BE ,329.698
THS,ED5_6,TOTAL,M,Y35-44,2011,BE ,253.122
THS,ED5_6,TOTAL,T,Y35-44,2011,BE ,582.819
THS,ED5_6,TOTAL,F,Y45-54,2011,BE ,255.906
THS,ED5_6,TOTAL,M,Y45-54,2011,BE ,241.237
THS,ED5_6,TOTAL,T,Y45-54,2011,BE ,497.143
THS,ED5_6,TOTAL,F,Y55-64,2011,BE ,153.129
THS,ED5_6,TOTAL,M,Y55-64,2011,BE ,177.815
THS,ED5_6,TOTAL,T,Y55-64,2011,BE ,330.944
THS,NRP,PB1040,F,TOTAL,2011,BE ,
THS,NRP,PB1040,M,TOTAL,2011,BE ,
THS,NRP,PB1040,T,TOTAL,2011,BE ,
THS,NRP,PB1040,F,Y15-24,2011,BE ,
THS,NRP,PB1040,M,Y15-24,2011,BE ,
THS,NRP,PB1040,T,Y15-24,2011,BE ,
THS,NRP,PB1040,F,Y25-34,2011,BE ,
THS,NRP,PB1040,M,Y25-34,2011,BE ,
THS,NRP,PB1040,T,Y25-34,2011,BE ,
THS,NRP,PB1040,F,Y35-44,2011,BE ,
THS,NRP,PB1040,M,Y35-44,2011,BE ,
THS,NRP,PB1040,T,Y35-44,2011,BE ,
THS,NRP,PB1040,F,Y45-54,2011,BE ,
THS,NRP,PB1040,M,Y45-54,2011,BE ,
THS,NRP,PB1040,T,Y45-54,2011,BE ,
THS,NRP,PB1040,F,Y55-64,2011,BE ,
THS,NRP,PB1040,M,Y55-64,2011,BE ,
THS,NRP,PB1040,T,Y55-64,2011,BE ,
THS,NRP,PB1041,F,TOTAL,2011,BE ,
THS,NRP,PB1041,M,TOTAL,2011,BE ,
THS,NRP,PB1041,T,TOTAL,2011,BE ,
THS,NRP,PB1041,F,Y15-24,2011,BE ,
THS,NRP,PB1041,M,Y15-24,2011,BE ,
THS,NRP,PB1041,T,Y15-24,2011,BE ,
THS,NRP,PB1041,F,Y25-34,2011,BE ,
THS,NRP,PB1041,M,Y25-34,2011,BE ,
THS,NRP,PB1041,T,Y25-34,2011,BE ,
THS,NRP,PB1041,F,Y35-44,2011,BE ,
THS,NRP,PB1041,M,Y35-44,2011,BE ,
THS,NRP,PB1041,T,Y35-44,2011,BE ,
